Price,Make,Model,Year,Color,Engine,Kilometer,Transmission,New
52 800 AZN,Kia,Sorento,2020,Yaş Asfalt,2.2 L / 200 a.g. / Dizel,76 000 km,Avtomat,Xeyr
35 000 AZN,Kia,K5,2021,Yaş Asfalt,1.6 L / 177 a.g. / Benzin,99 540 km,Avtomat,Xeyr
40 200 AZN,Kia,Cerato,2023,Mavi,1.6 L / 130 a.g. / Benzin,0 km,Avtomat,Bəli
35 900 USD,Kia,Sorento,2020,Ağ,1.6 L / 230 a.g. / Hibrid,159 000 km,Avtomat,Xeyr
25 500 AZN,Kia,Forte,2019,Qara,2.0 L / 147 a.g. / Benzin,128 942 km,Variator,Xeyr
40 900 AZN,Kia,Carnival,2019,Ağ,2.2 L / 202 a.g. / Dizel,180 000 km,Avtomat,Xeyr
26 500 AZN,Kia,Forte,2021,Yaş Asfalt,2.0 L / 147 a.g. / Benzin,102 998 km,Variator,Xeyr
40 300 AZN,Kia,Seltos,2021,Qara,2.0 L / 149 a.g. / Benzin,29 500 km,Variator,Xeyr
24 900 USD,Kia,Stinger,2019,Göy,2.0 L / 247 a.g. / Benzin,88 000 km,Avtomat,Xeyr
32 300 AZN,Kia,K5,2020,Qara,1.6 L / 180 a.g. / Benzin,73 000 km,Avtomat,Xeyr
31 000 AZN,Kia,Optima,2019,Qara,1.6 L / 178 a.g. / Benzin,111 045 km,Avtomat,Xeyr
68 000 AZN,Kia,Sorento,2022,Ağ,1.6 L / 230 a.g. / Hibrid,64 000 km,Avtomat,Xeyr
44 800 AZN,Kia,Sorento,2019,Qara,2.0 L / 184 a.g. / Dizel,99 000 km,Avtomat,Xeyr
31 500 AZN,Kia,Forte,2022,Göy,2.0 L / 147 a.g. / Benzin,45 728 km,Variator,Xeyr
58 500 AZN,Kia,Sorento,2020,Mavi,2.0 L / 200 a.g. / Dizel,101 000 km,Avtomat,Xeyr
41 900 AZN,Kia,K5,2021,Ağ,1.6 L / 180 a.g. / Benzin,74 572 km,Avtomat,Xeyr
39 500 AZN,Kia,Sportage,2020,Ağ,2.0 L / 150 a.g. / Benzin,61 000 km,Avtomat,Xeyr
25 500 AZN,Kia,Forte,2019,Qara,2.0 L / 147 a.g. / Benzin,128 942 km,Variator,Xeyr
38 500 USD,Kia,Sorento,2021,Ağ,1.6 L / 230 a.g. / Hibrid,79 500 km,Avtomat,Xeyr
28 500 AZN,Kia,Rio X-Line,2021,Ağ,1.4 L / 100 a.g. / Benzin,52 000 km,Avtomat,Xeyr
46 900 AZN,Kia,Sorento,2020,Qara,2.0 L / 186 a.g. / Dizel,148 000 km,Avtomat,Xeyr
43 900 AZN,Kia,Sorento,2019,Yaş Asfalt,2.0 L / 184 a.g. / Dizel,112 000 km,Avtomat,Xeyr
75 500 AZN,Kia,Sorento,2023,Ağ,2.2 L / 200 a.g. / Dizel,13 000 km,Avtomat,Xeyr
44 800 AZN,Kia,Carnival,2019,Göy,2.2 L / 202 a.g. / Dizel,129 560 km,Avtomat,Xeyr
33 200 AZN,Kia,K3,2024,Ağ,1.5 L / 115 a.g. / Benzin,0 km,Variator,Bəli
27 500 AZN,Kia,Cerato,2021,Ağ,2.0 L / 150 a.g. / Benzin,76 650 km,Avtomat,Xeyr
26 500 AZN,Kia,Forte,2021,Yaş Asfalt,2.0 L / 147 a.g. / Benzin,102 998 km,Variator,Xeyr
25 950 AZN,Kia,Cerato,2020,Gümüşü,2.0 L / 150 a.g. / Benzin,76 500 km,Avtomat,Xeyr
51 777 AZN,Kia,Carnival,2021,Ağ,2.2 L / 202 a.g. / Dizel,57 300 km,Avtomat,Xeyr
34 777 USD,Kia,K5,2024,Qara,2.0 L / 156 a.g. / Hibrid,0 km,Avtomat,Bəli
30 000 AZN,Kia,Stonic,2022,Qırmızı,1.0 L / 100 a.g. / Benzin,11 000 km,Robot,Xeyr
26 100 AZN,Kia,Forte,2019,Ağ,2.0 L / 147 a.g. / Benzin,156 106 km,Variator,Xeyr
46 500 AZN,Kia,Sorento,2020,Qəhvəyi,2.0 L / 184 a.g. / Dizel,134 000 km,Avtomat,Xeyr
26 500 AZN,Kia,Cerato,2019,Yaş Asfalt,2.0 L / 150 a.g. / Benzin,105 000 km,Avtomat,Xeyr
37 300 USD,Kia,Sorento,2023,Boz,1.6 L / 230 a.g. / Hibrid,120 km,Avtomat,Xeyr
26 800 AZN,Kia,Forte,2020,Ağ,2.0 L / 147 a.g. / Benzin,125 000 km,Variator,Xeyr
31 950 AZN,Kia,K3,2024,Ağ,1.5 L / 156 a.g. / Benzin,0 km,Avtomat,Bəli
39 700 USD,Kia,Carnival,2022,Boz,2.2 L / 202 a.g. / Dizel,69 000 km,Avtomat,Xeyr
45 900 AZN,Kia,Sorento,2019,Ağ,2.0 L / 184 a.g. / Dizel,114 000 km,Avtomat,Xeyr
34 777 USD,Kia,K5,2024,Qara,2.0 L / 156 a.g. / Hibrid,0 km,Avtomat,Bəli
36 900 AZN,Kia,K5,2020,Qara,2.0 L / 168 a.g. / Benzin,83 000 km,Avtomat,Xeyr
41 000 AZN,Kia,K5,2020,Qırmızı,1.6 L / 180 a.g. / Benzin,154 000 km,Avtomat,Xeyr
26 400 AZN,Kia,Forte,2019,Qara,2.0 L / 147 a.g. / Benzin,80 467 km,Variator,Xeyr
22 500 USD,Kia,K5,2020,Yaş Asfalt,1.6 L / 180 a.g. / Benzin,30 500 km,Robot,Xeyr
68 000 AZN,Kia,Sorento,2022,Ağ,1.6 L / 230 a.g. / Hibrid,64 000 km,Avtomat,Xeyr
49 500 AZN,Kia,Sorento,2021,Ağ,2.2 L / 200 a.g. / Dizel,115 000 km,Avtomat,Xeyr
27 500 AZN,Kia,Cerato,2021,Ağ,2.0 L / 150 a.g. / Benzin,76 650 km,Avtomat,Xeyr
25 500 AZN,Kia,Forte,2020,Qara,2.0 L / 147 a.g. / Benzin,86 300 km,Variator,Xeyr
24 900 USD,Kia,Stinger,2019,Göy,2.0 L / 247 a.g. / Benzin,88 000 km,Avtomat,Xeyr
40 300 AZN,Kia,Seltos,2021,Qara,2.0 L / 149 a.g. / Benzin,29 500 km,Variator,Xeyr
39 900 AZN,Kia,Sorento,2019,Qara,2.0 L / 184 a.g. / Dizel,171 000 km,Avtomat,Xeyr
25 700 AZN,Kia,Rio,2021,Qara,1.6 L / 123 a.g. / Benzin,17 584 km,Avtomat,Xeyr
73 500 AZN,Kia,Sorento,2022,Ağ,1.6 L / 230 a.g. / Hibrid,26 165 km,Avtomat,Xeyr
29 500 USD,Kia,EV5,2024,Gümüşü,218 a.g. / Elektro,0 km,Reduktor,Bəli
26 700 USD,Kia,Stinger,2019,Göy,2.0 L / 247 a.g. / Benzin,78 000 km,Avtomat,Xeyr
45 900 AZN,Kia,Sorento,2019,Ağ,2.0 L / 184 a.g. / Dizel,114 000 km,Avtomat,Xeyr
25 800 AZN,Kia,Forte,2019,Göy,2.0 L / 147 a.g. / Benzin,89 404 km,Variator,Xeyr
33 900 AZN,Kia,Sportage,2019,Qara,1.6 L / 136 a.g. / Dizel,108 000 km,Robot,Xeyr
